name,ave_retweet,ave_favorite,retweet_count,favorite_count,tweet_count,state,district_N,party,abbreviation,district_key
Glenn Grothman,0.9698275862068966,2.0086206896551726,225,466,232,Wisconsin,06,Republican,WI,WI-06
Glenn Thompson,0.16517857142857142,0.29017857142857145,37,65,224,Pennsylvania,15,Republican,PA,PA-15
Grace Meng,10.486177311725454,33.780743565300284,11000,35436,1049,New York,06,Democratic,NY,NY-06
Greg Gianforte,37.34782608695652,169.7826086956522,859,3905,23,Montana,00,Republican,MT,MT-00
Greg McCauley,4.481012658227848,5.0316455696202524,708,795,158,Pennsylvania,06,Republican,PA,PA-06
Greg Pence,6.002832861189803,23.297450424929174,2119,8224,353,Indiana,06,Republican,IN,IN-06
Greg Ryan,3.21875,6.65625,103,213,32,Minnesota,04,Republican,MN,MN-04
Greg Steube,13.538461538461537,45.57692307692307,352,1185,26,Florida,17,Republican,FL,FL-17
Greg Walden,5.5,9.5,11,19,2,Oregon,02,Republican,OR,OR-02
Gretchen Driskell,4.404255319148937,17.212765957446813,1035,4045,235,Michigan,07,Democratic,MI,MI-07
Guy Reschenthaler,1.3,5.7625,104,461,80,Pennsylvania,14,Republican,PA,PA-14
Gwen Moore,5.438679245283018,16.20754716981132,1153,3436,212,Wisconsin,04,Democratic,WI,WI-04
Hakeem Jeffries,2.4444444444444446,6.888888888888888,22,62,9,New York,08,Democratic,NY,NY-08
Haley Stevens,12.736493936052922,38.922822491730976,11552,35303,907,Michigan,11,Democratic,MI,MI-11
Hank Johnson,2.8292682926829267,8.231707317073171,232,675,82,Georgia,04,Democratic,GA,GA-04
Hank Linderman,1.2647058823529411,2.6985294117647056,172,367,136,Kentucky,02,Democratic,KY,KY-02
Harley Rouda,260.00323176361957,473.1694367497692,563167,1024885,2166,California,48,Democratic,CA,CA-48
Harry Arora,72.23177083333333,217.90625,27737,83676,384,Connecticut,04,Republican,CT,CT-04
Hayden Shamel,7.053571428571429,16.883928571428573,790,1891,112,Arkansas,04,Democratic,AR,AR-04
Henry Martin,8.907865168539326,17.916853932584267,3964,7973,445,Missouri,06,Democratic,MO,MO-06
Hiral Tipirneni,214.9133709981168,464.4406779661017,114119,246618,531,Arizona,08,Democratic,AZ,AZ-08
Ian Todd,4.404612159329139,11.255765199161425,2101,5369,477,Minnesota,06,Democratic,MN,MN-06
Ilhan Omar,43.81329561527581,225.77015558698727,61952,319239,1414,Minnesota,05,Democratic,MN,MN-05
J.D. Scholten,108.64081255771006,251.1662049861496,117658,272013,1083,Iowa,04,Democratic,IA,IA-04
Jack Bergman,2.0,8.666666666666666,6,26,3,Michigan,01,Republican,MI,MI-01
Jackie Speier,1.9390243902439024,5.609756097560974,159,460,82,California,14,Democratic,CA,CA-14
Jackie Walorski,0.7830508474576271,3.3728813559322037,231,995,295,Indiana,02,Republican,IN,IN-02
Jahana Hayes,15.687671232876713,51.6958904109589,5726,18869,365,Connecticut,05,Democratic,CT,CT-05
Jaime Herrera Beutler,2.609756097560976,5.121951219512195,107,210,41,Washington,03,Republican,WA,WA-03
James Baird,0.9391891891891893,4.0540540540540535,139,600,148,Indiana,04,Republican,IN,IN-04
James Comer Jr.,10.925465838509316,58.0248447204969,1759,9342,161,Kentucky,01,Republican,KY,KY-01
James Maxwell,2.961620469083156,8.852878464818764,1389,4152,469,New York,25,Republican,NY,NY-25
James O'Donnell,2.511363636363636,5.153409090909091,442,907,176,New York,18,Republican,NY,NY-18
James Singer,5.490469208211144,16.576246334310852,7489,22610,1364,Utah,03,Democratic,UT,UT-03
James Thompson,18.338482202820686,48.07924781732706,27306,71590,1489,Kansas,04,Democratic,KS,KS-04
Jamie McLeod-Skinner,24.323129251700678,49.960884353741505,14302,29377,588,Oregon,02,Democratic,OR,OR-02
Jamie Raskin,8.536585365853659,32.09756097560975,350,1316,41,Maryland,08,Democratic,MD,MD-08
Jamie Schoolcraft,4.634241245136186,9.27626459143969,1191,2384,257,Missouri,07,Democratic,MO,MO-07
Jan McDowell,8.579931972789115,19.047619047619047,5045,11200,588,Texas,24,Democratic,TX,TX-24
Jan Schakowsky,2.593582887700535,5.743315508021389,485,1074,187,Illinois,09,Democratic,IL,IL-09
Jana Lynne Sanchez,7.142548596112312,23.845572354211658,6614,22081,926,Texas,06,Democratic,TX,TX-06
Janet Garrett,244.1395348837209,538.0620155038761,157470,347050,645,Ohio,04,Democratic,OH,OH-04
Janice Arnold-Jones,0.6076675026872089,0.8935865281261197,1696,2494,2791,New Mexico,01,Republican,NM,NM-01
Jared Golden,25.917582417582413,63.818681318681314,4717,11615,182,Maine,02,Democratic,ME,ME-02
Jared Huffman,9.185089974293057,27.659383033419022,7146,21519,778,California,02,Democratic,CA,CA-02
Jason Crow,35.835489833641404,92.77818853974121,19387,50193,541,Colorado,06,Democratic,CO,CO-06
Jason Lewis,27.737142857142853,70.44571428571429,4854,12328,175,Minnesota,02,Republican,MN,MN-02
Jason Nichols,5.015723270440252,8.632075471698114,1595,2745,318,Oklahoma,02,Democratic,OK,OK-02
